time	ref	y	y_dot	p1	p2	z	u
0.176000	-0.295309	0.083960	-0.230592	10847214.783644	29602764.780491	-0.101454	-0.119923
0.177000	-0.295309	0.083722	-0.245034	11130436.483925	29460145.425603	-0.104917	-0.120555
0.178000	-0.295309	0.083471	-0.255802	11484815.422911	29369926.339251	-0.107838	-0.121033
0.179000	-0.295309	0.083211	-0.263007	11806343.443816	29334981.606027	-0.110315	-0.121504
0.180000	-0.295309	0.082946	-0.267506	12036057.457160	29341058.085878	-0.112432	-0.121996
0.181000	-0.295309	0.082677	-0.270402	12160983.971504	29367657.691778	-0.114256	-0.122496
0.182000	-0.295309	0.082405	-0.272659	12201179.105244	29396718.145248	-0.115836	-0.122974
0.183000	-0.295309	0.082132	-0.274900	12191690.785678	29417022.721397	-0.117207	-0.123399
0.184000	-0.295309	0.081855	-0.277375	12167040.481047	29424582.382654	-0.118394	-0.123755
0.185000	-0.295309	0.081577	-0.280049	12151303.154153	29420801.409732	-0.119416	-0.124038
0.186000	-0.295309	0.081295	-0.282735	12155242.935221	29409937.996877	-0.120293	-0.124255
0.187000	-0.295309	0.081011	-0.285221	12178430.519651	29396682.360747	-0.121042	-0.124423
0.188000	-0.295309	0.080725	-0.287358	12213966.533857	29384733.995147	-0.121678	-0.124556
0.189000	-0.295309	0.080437	-0.289081	12253051.707883	29376127.933882	-0.122220	-0.124669
0.190000	-0.295309	0.080147	-0.290413	12288448.506562	29371280.924943	-0.122682	-0.124770
0.191000	-0.295309	0.079856	-0.291427	12315993.792739	29369483.430813	-0.123077	-0.124862
0.192000	-0.295309	0.079564	-0.292217	12334729.482405	29369534.120859	-0.123416	-0.124947
0.193000	-0.295309	0.079272	-0.292865	12346030.242225	29370244.357071	-0.123707	-0.125024
0.194000	-0.295309	0.078978	-0.293433	12352373.828241	29370770.467828	-0.123958	-0.125091
0.195000	-0.295309	0.078685	-0.293952	12356285.967025	29370703.346729	-0.124173	-0.125148
0.196000	-0.295309	0.078391	-0.294434	12359670.228409	29370002.907891	-0.124359	-0.125196
0.197000	-0.295309	0.078096	-0.294875	12363556.036375	29368860.359221	-0.124517	-0.125236
0.198000	-0.295309	0.077801	-0.295269	12368142.128710	29367576.877234	-0.124653	-0.125268
0.199000	-0.295309	0.077505	-0.295610	12373154.056599	29366378.360288	-0.124769	-0.125295
0.200000	-0.295309	0.077210	-0.295897	12378123.788992	29365410.866054	-0.124868	-0.125318
0.201000	-0.295309	0.076914	-0.296135	12382624.821651	29364720.850711	-0.124953	-0.125338
0.202000	-0.295309	0.076617	-0.296331	12386392.453086	29364278.314783	-0.125026	-0.125355
0.203000	-0.295309	0.076321	-0.296492	12389353.308952	29364012.305030	-0.125088	-0.125371
0.204000	-0.295309	0.076024	-0.296628	12391590.092824	29363844.479788	-0.125142	-0.125384
0.205000	-0.295309	0.075728	-0.296744	12393271.972236	29363710.827437	-0.125187	-0.125395
0.206000	-0.295309	0.075431	-0.296845	12394580.200101	29363574.116873	-0.125227	-0.125405
0.207000	-0.295309	0.075134	-0.296933	12395671.877409	29363420.779221	-0.125260	-0.125414
0.208000	-0.295309	0.074837	-0.297011	12396647.802949	29363255.071478	-0.125289	-0.125421
0.209000	-0.295309	0.074540	-0.297079	12397554.590500	29363089.303026	-0.125314	-0.125427
0.210000	-0.295309	0.074243	-0.297138	12398398.620506	29362938.667299	-0.125335	-0.125432
0.211000	-0.295309	0.073946	-0.297188	12399169.328032	29362809.466058	-0.125353	-0.125436
0.212000	-0.295309	0.073648	-0.297230	12399852.176340	29362705.147445	-0.125369	-0.125440
0.213000	-0.295309	0.073351	-0.297266	12400439.148852	29362623.795478	-0.125382	-0.125443
0.214000	-0.295309	0.073054	-0.297297	12400931.164519	29362561.010294	-0.125394	-0.125446
0.215000	-0.295309	0.072757	-0.297323	12401337.417386	29362511.196222	-0.125404	-0.125449
0.216000	-0.295309	0.072459	-0.297345	12401671.841581	29362470.156014	-0.125412	-0.125451
0.217000	-0.295309	0.072162	-0.297364	12401949.717712	29362434.425026	-0.125419	-0.125452
0.218000	-0.295309	0.071864	-0.297380	12402184.413823	29362402.356432	-0.125425	-0.125454
0.219000	-0.295309	0.071567	-0.297395	12402386.055737	29362373.295683	-0.125431	-0.125455
0.220000	-0.295309	0.071270	-0.297407	12402561.600163	29362346.996951	-0.125435	-0.125456
0.221000	-0.295309	0.070972	-0.297418	12402715.348495	29362323.688832	-0.125439	-0.125457
0.222000	-0.295309	0.070675	-0.297427	12402849.930344	29362303.431142	-0.125442	-0.125458
0.223000	-0.295309	0.070377	-0.297434	12402967.091594	29362286.112327	-0.125445	-0.125459
0.224000	-0.295309	0.070080	-0.297441	12403068.491061	29362271.397912	-0.125448	-0.125459
0.225000	-0.295309	0.069783	-0.297447	12403155.635881	29362259.066106	-0.125450	-0.125460
0.226000	-0.295309	0.069485	-0.297452	12403230.123201	29362248.691493	-0.125452	-0.125460
0.227000	-0.295309	0.069188	-0.297456	12403293.671268	29362239.873813	-0.125453	-0.125461
0.228000	-0.295309	0.068890	-0.297460	12403347.778339	29362232.431620	-0.125455	-0.125461
0.229000	-0.295309	0.068593	-0.297463	12403393.358069	29362225.897488	-0.125456	-0.125461
0.230000	-0.295309	0.068295	-0.297465	12403432.628146	29362220.311018	-0.125457	-0.125462
0.231000	-0.295309	0.067998	-0.297468	12403466.501664	29362215.473871	-0.125458	-0.125462
0.232000	-0.295309	0.067700	-0.297470	12403495.704965	29362211.312435	-0.125458	-0.125462
0.233000	-0.295309	0.067403	-0.297471	12403520.853296	29362207.742125	-0.125459	-0.125462
0.234000	-0.295309	0.067105	-0.297473	12403542.509986	29362204.665355	-0.125460	-0.125462
0.235000	-0.295309	0.066808	-0.297474	12403561.204080	29362201.984826	-0.125460	-0.125462
0.236000	-0.295309	0.066510	-0.297475	12403577.341247	29362199.672130	-0.125461	-0.125463
0.237000	-0.295309	0.066213	-0.297476	12403591.330432	29362197.633679	-0.125461	-0.125463
0.238000	-0.295309	0.065915	-0.297477	12403603.408757	29362195.902693	-0.125461	-0.125463
0.239000	-0.295309	0.065618	-0.297478	12403613.709964	29362194.491898	-0.125461	-0.125463
0.240000	-0.295309	0.065321	-0.297478	12403622.612236	29362193.202802	-0.125462	-0.125463
0.241000	-0.295309	0.065023	-0.297479	12403630.277639	29362192.115208	-0.125462	-0.125463
0.242000	-0.295309	0.064726	-0.297479	12403636.952368	29362191.123738	-0.125462	-0.125463
0.243000	-0.295309	0.064428	-0.297480	12403642.783733	29362190.251491	-0.125462	-0.125463
0.244000	-0.295309	0.064131	-0.297480	12403647.829110	29362189.522486	-0.125462	-0.125463
0.245000	-0.295309	0.063833	-0.297480	12403652.207247	29362188.880428	-0.125462	-0.125463
