time	ref	y	y_dot	p1	p2	z	u
0.313000	0.418988	0.002495	0.285087	10934660.884439	4334732.889360	0.094169	0.109194
0.314000	0.418988	0.002787	0.299304	11097304.358139	4496082.026059	0.097264	0.111243
0.315000	0.418988	0.003092	0.310738	11090551.936976	4594913.885134	0.100135	0.113100
0.316000	0.418988	0.003408	0.319673	11029770.974187	4633036.807721	0.102778	0.114714
0.317000	0.418988	0.003731	0.326959	10978586.450757	4634310.125878	0.105193	0.116103
0.318000	0.418988	0.004061	0.333480	10951947.053128	4625676.755640	0.107391	0.117318
0.319000	0.418988	0.004398	0.339835	10935540.246250	4625522.148757	0.109389	0.118417
0.320000	0.418988	0.004741	0.346254	10906948.369088	4640857.659860	0.111212	0.119443
0.321000	0.418988	0.005091	0.352684	10850276.408177	4669824.999080	0.112880	0.120416
0.322000	0.418988	0.005446	0.358940	10761420.208596	4706379.456075	0.114414	0.121341
0.323000	0.418988	0.005808	0.364835	10646294.361785	4744154.426112	0.115827	0.122213
0.324000	0.418988	0.006176	0.370259	10515799.245001	4778824.487705	0.117132	0.123024
0.325000	0.418988	0.006549	0.375194	10380775.071550	4808707.262902	0.118335	0.123771
0.326000	0.418988	0.006926	0.379688	10248880.814064	4834220.084060	0.119445	0.124457
0.327000	0.418988	0.007308	0.383822	10123740.304044	4856821.909596	0.120467	0.125086
0.328000	0.418988	0.007694	0.387672	10005735.002529	4878052.847788	0.121409	0.125664
0.329000	0.418988	0.008083	0.391294	9893487.128652	4898965.398874	0.122278	0.126200
0.330000	0.418988	0.008476	0.394716	9785288.441969	4919953.038673	0.123079	0.126699
0.331000	0.418988	0.008873	0.397946	9679957.037530	4940909.831424	0.123819	0.127163
0.332000	0.418988	0.009272	0.400986	9577107.439934	4961482.586950	0.124504	0.127597
0.333000	0.418988	0.009675	0.403836	9476992.734711	4981306.324072	0.125138	0.128001
0.334000	0.418988	0.010080	0.406498	9380164.694670	5000141.867542	0.125725	0.128378
0.335000	0.418988	0.010488	0.408983	9287152.308814	5017917.430391	0.126269	0.128728
0.336000	0.418988	0.010898	0.411305	9198268.650657	5034691.659808	0.126774	0.129053
0.337000	0.418988	0.011310	0.413477	9113563.213572	5050589.881469	0.127242	0.129356
0.338000	0.418988	0.011725	0.415513	9032878.892512	5065742.295738	0.127676	0.129638
0.339000	0.418988	0.012141	0.417425	8955949.881446	5080247.522880	0.128079	0.129901
0.340000	0.418988	0.012559	0.419223	8882494.848613	5094163.159865	0.128454	0.130147
0.341000	0.418988	0.012979	0.420914	8812273.323913	5107513.550234	0.128803	0.130376
0.342000	0.418988	0.013401	0.422504	8745103.746282	5120304.875821	0.129127	0.130591
0.343000	0.418988	0.013824	0.424000	8680854.082440	5132540.263606	0.129428	0.130791
0.344000	0.418988	0.014249	0.425407	8619420.035578	5144229.377566	0.129709	0.130979
0.345000	0.418988	0.014675	0.426731	8560703.443896	5155391.636707	0.129971	0.131155
0.346000	0.418988	0.015103	0.427977	8504599.306675	5166053.334559	0.130216	0.131319
0.347000	0.418988	0.015531	0.429151	8450992.236558	5176243.525631	0.130444	0.131474
0.348000	0.418988	0.015961	0.430259	8399759.051690	5185992.400680	0.130656	0.131618
0.349000	0.418988	0.016392	0.431304	8350775.959275	5195324.810386	0.130855	0.131754
0.350000	0.418988	0.016823	0.432290	8303923.415111	5204262.932415	0.131041	0.131881
0.351000	0.418988	0.017256	0.433222	8259087.473042	5212829.500786	0.131215	0.132001
0.352000	0.418988	0.017690	0.434103	8216168.879011	5221036.215612	0.131378	0.132113
0.353000	0.418988	0.018124	0.434936	8175072.974506	5228901.442554	0.131530	0.132219
0.354000	0.418988	0.018560	0.435725	8135712.057946	5236440.551540	0.131673	0.132319
0.355000	0.418988	0.018996	0.436471	8098002.974898	5243668.733850	0.131807	0.132412
0.356000	0.418988	0.019433	0.437178	8061867.247847	5250600.379656	0.131933	0.132501
0.357000	0.418988	0.019870	0.437848	8027229.809993	5257249.736373	0.132051	0.132584
0.358000	0.418988	0.020308	0.438484	7994019.333957	5263630.233274	0.132162	0.132663
0.359000	0.418988	0.020747	0.439087	7962167.814983	5269754.548802	0.132266	0.132737
0.360000	0.418988	0.021187	0.439659	7931610.536857	5275634.821258	0.132364	0.132807
0.361000	0.418988	0.021627	0.440203	7902286.648414	5281281.845496	0.132456	0.132873
0.362000	0.418988	0.022067	0.440720	7874138.965894	5286706.044177	0.132543	0.132936
0.363000	0.418988	0.022508	0.441211	7847113.731821	5291917.161327	0.132625	0.132996
0.364000	0.418988	0.022949	0.441679	7821160.052719	5296924.703385	0.132702	0.133052
0.365000	0.418988	0.023391	0.442124	7796230.404703	5301737.059595	0.132775	0.133105
0.366000	0.418988	0.023834	0.442548	7772279.220533	5306363.110546	0.132844	0.133155
0.367000	0.418988	0.024276	0.442952	7749263.115107	5310810.961957	0.132909	0.133203
0.368000	0.418988	0.024720	0.443337	7727141.217400	5315087.946684	0.132971	0.133249
0.369000	0.418988	0.025163	0.443704	7705875.030254	5319201.078410	0.133029	0.133292
0.370000	0.418988	0.025607	0.444054	7685428.236859	5323157.135311	0.133084	0.133333
0.371000	0.418988	0.026051	0.444388	7665765.259080	5326962.010981	0.133136	0.133372
0.372000	0.418988	0.026496	0.444707	7646856.093201	5330622.029253	0.133186	0.133409
0.373000	0.418988	0.026941	0.445012	7628668.936309	5334143.482972	0.133233	0.133444
0.374000	0.418988	0.027386	0.445303	7611173.828479	5337531.882606	0.133277	0.133478
0.375000	0.418988	0.027831	0.445581	7594342.783494	5340792.236245	0.133319	0.133510
0.376000	0.418988	0.028277	0.445847	7578148.939484	5343929.685672	0.133359	0.133541
0.377000	0.418988	0.028723	0.446101	7562567.105645	5346948.789519	0.133397	0.133570
0.378000	0.418988	0.029169	0.446345	7547573.515240	5349854.109267	0.133434	0.133597
0.379000	0.418988	0.029616	0.446578	7533145.683054	5352649.467589	0.133468	0.133624
0.380000	0.418988	0.030062	0.446801	7519262.556825	5355338.667304	0.133501	0.133649
0.381000	0.418988	0.030509	0.447014	7505903.988357	5357925.829979	0.133532	0.133673
0.382000	0.418988	0.030956	0.447218	7493050.513398	5360414.620356	0.133562	0.133696
0.383000	0.418988	0.031404	0.447414	7480683.433199	5362808.772299	0.133590	0.133718
0.384000	0.418988	0.031851	0.447601	7468784.889266	5365111.573297	0.133617	0.133739
0.385000	0.418988	0.032299	0.447780	7457338.090175	5367326.101915	0.133643	0.133759
0.386000	0.418988	0.032747	0.447952	7446327.109879	5369455.343630	0.133667	0.133778
0.387000	0.418988	0.033195	0.448117	7435736.577365	5371502.372623	0.133691	0.133797
0.388000	0.418988	0.033643	0.448274	7425552.203524	5373469.517553	0.133713	0.133814
0.389000	0.418988	0.034091	0.448426	7415760.028056	5375359.792626	0.133734	0.133831
0.390000	0.418988	0.034540	0.448570	7406346.691542	5377175.708121	0.133755	0.133847
0.391000	0.418988	0.034988	0.448709	7397299.520621	5378919.628268	0.133774	0.133862
0.392000	0.418988	0.035437	0.448842	7388606.169397	5380594.377778	0.133793	0.133877
0.393000	0.418988	0.035886	0.448969	7380255.199710	5382201.225677	0.133811	0.133891
0.394000	0.418988	0.036335	0.449091	7372236.098293	5383742.421792	0.133828	0.133905
0.395000	0.418988	0.036784	0.449208	7364537.856525	5385220.344619	0.133844	0.133918
0.396000	0.418988	0.037234	0.449320	7357150.296756	5386636.958381	0.133860	0.133930
0.397000	0.418988	0.037683	0.449427	7350063.530210	5387994.177191	0.133874	0.133942
0.398000	0.418988	0.038132	0.449529	7343268.239424	5389293.832675	0.133889	0.133953
0.399000	0.418988	0.038582	0.449627	7336755.715755	5390537.189596	0.133902	0.133964
0.400000	0.418988	0.039032	0.449720	7330517.518080	5391726.069646	0.133915	0.133974
0.401000	0.418988	0.039481	0.449810	7324545.447463	5392862.139286	0.133928	0.133984
0.402000	0.418988	0.039931	0.449896	7318831.561383	5393946.945398	0.133940	0.133993
0.403000	0.418988	0.040381	0.449977	7313368.319787	5394981.879326	0.133951	0.134002
0.404000	0.418988	0.040831	0.450055	7308148.754210	5395968.098420	0.133962	0.134011
0.405000	0.418988	0.041281	0.450130	7303165.751539	5396907.424871	0.133972	0.134019
0.406000	0.418988	0.041731	0.450200	7298412.577432	5397800.807787	0.133982	0.134027
0.407000	0.418988	0.042182	0.450268	7293882.720927	5398649.804544	0.133992	0.134035
0.408000	0.418988	0.042632	0.450332	7289569.810958	5399455.520076	0.134001	0.134042
0.409000	0.418988	0.043082	0.450393	7285468.106283	5400218.848882	0.134009	0.134049
0.410000	0.418988	0.043533	0.450452	7281571.810952	5400941.153521	0.134018	0.134055
0.411000	0.418988	0.043983	0.450507	7277875.491983	5401623.373711	0.134026	0.134061
0.412000	0.418988	0.044434	0.450559	7274373.741544	5402266.774932	0.134033	0.134067
0.413000	0.418988	0.044884	0.450609	7271061.450407	5402872.114032	0.134040	0.134073
0.414000	0.418988	0.045335	0.450655	7267933.678384	5403440.794795	0.134047	0.134078
0.415000	0.418988	0.045786	0.450700	7264985.678560	5403973.117494	0.134054	0.134083
0.416000	0.418988	0.046236	0.450741	7262212.975168	5404470.134295	0.134060	0.134088
0.417000	0.418988	0.046687	0.450780	7259611.285259	5404932.722526	0.134066	0.134093
0.418000	0.418988	0.047138	0.450817	7257176.165281	5405361.979443	0.134071	0.134097
0.419000	0.418988	0.047589	0.450852	7254903.427703	5405758.510823	0.134077	0.134101
0.420000	0.418988	0.048040	0.450884	7252789.134370	5406123.166283	0.134082	0.134105
0.421000	0.418988	0.048491	0.450914	7250829.540063	5406456.540468	0.134087	0.134108
0.422000	0.418988	0.048942	0.450942	7249020.859453	5406759.633754	0.134091	0.134112
0.423000	0.418988	0.049392	0.450967	7247359.636835	5407032.764753	0.134095	0.134115
0.424000	0.418988	0.049843	0.450991	7245842.405572	5407277.009648	0.134099	0.134118
0.425000	0.418988	0.050294	0.451013	7244465.648480	5407492.891366	0.134103	0.134121
0.426000	0.418988	0.050745	0.451032	7243226.150608	5407680.978963	0.134107	0.134123
0.427000	0.418988	0.051197	0.451050	7242120.809176	5407841.961485	0.134110	0.134125
0.428000	0.418988	0.051648	0.451066	7241146.711808	5407976.241660	0.134113	0.134128
0.429000	0.418988	0.052099	0.451080	7240300.980655	5408084.609725	0.134116	0.134130
0.430000	0.418988	0.052550	0.451093	7239580.550580	5408167.701933	0.134119	0.134131
0.431000	0.418988	0.053001	0.451104	7238982.635825	5408225.982633	0.134122	0.134133
0.432000	0.418988	0.053452	0.451113	7238504.805830	5408259.701416	0.134124	0.134134
0.433000	0.418988	0.053903	0.451120	7238144.532151	5408269.637879	0.134126	0.134136
0.434000	0.418988	0.054354	0.451126	7237899.122773	5408256.403650	0.134128	0.134137
0.435000	0.418988	0.054805	0.451130	7237766.140107	5408220.296453	0.134130	0.134138
0.436000	0.418988	0.055256	0.451133	7237743.511300	5408161.636712	0.134131	0.134139
0.437000	0.418988	0.055708	0.451134	7237828.812652	5408081.207084	0.134133	0.134139
0.438000	0.418988	0.056159	0.451134	7238019.708289	5407979.292561	0.134134	0.134140
0.439000	0.418988	0.056610	0.451132	7238314.245796	5407856.180768	0.134135	0.134140
0.440000	0.418988	0.057061	0.451129	7238710.702853	5407712.498974	0.134136	0.134141
0.441000	0.418988	0.057512	0.451125	7239208.715880	5407548.277270	0.134137	0.134141
0.442000	0.418988	0.057963	0.451119	7239804.886728	5407364.139828	0.134138	0.134141
0.443000	0.418988	0.058414	0.451112	7240492.498327	5407161.557671	0.134138	0.134140
0.444000	0.418988	0.058865	0.451103	7241271.097008	5406940.106812	0.134138	0.134140
0.445000	0.418988	0.059317	0.451094	7242141.128083	5406699.201812	0.134139	0.134140
0.446000	0.418988	0.059768	0.451083	7243101.889463	5406439.324754	0.134139	0.134139
0.447000	0.418988	0.060219	0.451071	7244152.024083	5406161.126216	0.134139	0.134139
0.448000	0.418988	0.060670	0.451058	7245290.066951	5405864.997854	0.134139	0.134138
0.449000	0.418988	0.061121	0.451043	7246517.464936	5405550.770164	0.134138	0.134137
0.450000	-0.606261	0.061570	0.444343	6051165.761113	6886508.711527	0.112626	0.015460
0.451000	-0.606261	0.062001	0.411365	3482674.224747	8660684.944061	0.093289	0.005950
0.452000	-0.606261	0.062382	0.347361	838948.066874	9770651.033098	0.075549	-0.004578
0.453000	-0.606261	0.062688	0.263880	0.000000	9881182.567048	0.058512	-0.018438
0.454000	-0.606261	0.062911	0.181935	0.000000	9520958.939940	0.041698	-0.034245
0.455000	-0.606261	0.063054	0.104561	0.000000	9131167.982644	0.024780	-0.051630
0.456000	-0.606261	0.063122	0.032795	0.000000	8978015.955312	0.007636	-0.069798
0.457000	-0.606261	0.063126	-0.016314	0.000000	10970296.033267	-0.009740	-0.088223
0.458000	-0.606261	0.063086	-0.070934	0.000000	19093911.744326	-0.027272	-0.106460
0.459000	-0.606261	0.062974	-0.152429	2254051.015902	24848156.584688	-0.045044	-0.125313
0.460000	-0.606261	0.062788	-0.213666	6320946.971458	26360060.089051	-0.063818	-0.148613
0.461000	-0.606261	0.062557	-0.243718	9680132.198231	27485349.518086	-0.081975	-0.163987
0.462000	-0.606261	0.062308	-0.254087	11534592.643011	28668926.155742	-0.098614	-0.173767
0.463000	-0.606261	0.062051	-0.258494	11929914.872345	29452615.571677	-0.113042	-0.178207
0.464000	-0.606261	0.061789	-0.266387	11440315.146476	29845174.326239	-0.125271	-0.180504
0.465000	-0.606261	0.061516	-0.281461	10725388.725499	29976990.583891	-0.135696	-0.182788
0.466000	-0.606261	0.061224	-0.302632	10220188.343339	29960167.269233	-0.144848	-0.186182
0.467000	-0.606261	0.060910	-0.326608	10056568.472296	29877846.457677	-0.153140	-0.190593
0.468000	-0.606261	0.060571	-0.350239	10163731.515922	29784604.124349	-0.160786	-0.195323
0.469000	-0.606261	0.060210	-0.371636	10405989.669025	29708648.183209	-0.167878	-0.199909
0.470000	-0.606261	0.059829	-0.390208	10669312.963418	29658104.586137	-0.174469	-0.204239
0.471000	-0.606261	0.059431	-0.406210	10891253.330860	29628275.418307	-0.180555	-0.208046
0.472000	-0.606261	0.059017	-0.420222	11055453.777390	29610659.046042	-0.186133	-0.211329
0.473000	-0.606261	0.058591	-0.432799	11171600.934492	29598200.769826	-0.191221	-0.214205
0.474000	-0.606261	0.058152	-0.444331	11257401.431438	29586806.058123	-0.195855	-0.216787
0.475000	-0.606261	0.057702	-0.455031	11328176.756764	29574816.492956	-0.200075	-0.219135
0.476000	-0.606261	0.057242	-0.464996	11392491.732660	29562585.355390	-0.203945	-0.221428
0.477000	-0.606261	0.056772	-0.474274	11453416.647385	29550572.842452	-0.207507	-0.223598
0.478000	-0.606261	0.056294	-0.482897	11511482.488785	29539126.519047	-0.210793	-0.225635
0.479000	-0.606261	0.055807	-0.490900	11566263.964151	29528482.887800	-0.213830	-0.227547
0.480000	-0.606261	0.055312	-0.498323	11617346.821233	29518658.122681	-0.216638	-0.229322
